yum_id,brand,street,city,state,zip,latitude,longitude,sales_volume,sales_year,closest_tb
120777,Wendy's,1701 7TH AVE,BEAVER FALLS,PA,15010,40.75796415,-80.31956096,1129000,2009,3.051822958
199793,Boston Market,471 CENTRAL AVE,EAST ORANGE,NJ,7018,40.75813175,-74.21999115,1970000,2012,4.156809577
404691,Papa John's Pizza,466 CENTRAL AVE,EAST ORANGE,NJ,7018,40.75851894,-74.21993036,0,,4.183658388
92696,Domino's,16 W WASHINGTON AVE,WASHINGTON,NJ,7882,40.75852209,-74.97992903,0,,10.2523184
391460,Papa John's Pizza,6 MAIN ST,MADISON,NJ,7940,40.76020862,-74.41682226,316000,2013,3.894696148
402484,Chipotle Mexican Grill,6 MAIN ST,MADISON,NJ,7940,40.76020862,-74.41682226,0,,3.894696148
245314,Fox's Pizza Den,3180 W COLLEGE AVE,STATE COLLEGE,PA,16801,40.76021376,-77.87802569,157000,2012,2.732894076
238582,McDonald's-TR,737 SECAUCUS RD,JERSEY CITY,NJ,7307,40.76065355,-74.0522669,1678000,2004,0.709442367
53081,Burger King-TR,205 PASSAIC AVE,KEARNY,NJ,7032,40.76072068,-74.16019863,2342000,2012,2.558991788
91821,Domino's,8 PARK AVE,MADISON,NJ,7940,40.76073638,-74.41745381,691000,2013,3.880305682
53052,Burger King-TR,645 CENTRAL AVE,EAST ORANGE,NJ,7018,40.7621301,-74.22591837,2280000,2013,4.380237297
270005,Domino's,441 MAIN ST,EAST ORANGE,NJ,7018,40.76219322,-74.21201742,1367000,2012,4.084060184
228371,Wendy's,1500 TONNELLE AVE,NORTH BERGEN,NJ,7047,40.76599719,-74.04671568,2086000,2013,0.243927575
213263,White Castle,467 CENTRAL AVE,ORANGE,NJ,7050,40.76759836,-74.23904328,0,,4.729989161
89615,Wendy's,2 MAIN ST,ORANGE,NJ,7050,40.76764516,-74.22039493,2015000,2013,4.25699403
311182,Papa John's Pizza,2749 COLLEGE AVE,BEAVER FALLS,PA,15010,40.7676607,-80.32140291,949000,2013,2.794259892
368380,Fox's Pizza Den,119 WHITE OAK RD,RURAL VALLEY,PA,16249,40.7679,-79.2846,725000,2012,12.19970393
200621,McDonald's-TR,960 SCHUYLKILL MALL,FRACKVILLE,PA,17931,40.76978827,-76.22281587,3160000,2012,17.46870931
51563,Arby's,830 SCHUYLKILL MALL,FRACKVILLE,PA,17931,40.76995745,-76.22292135,764000,2010,17.46379907
76548,McDonald's-TR,573 NORTHFIELD AVE,WEST ORANGE,NJ,7052,40.77000607,-74.28144246,2765000,2012,4.314440401
76543,McDonald's-TR,145-147 MAIN ST,ORANGE,NJ,7050,40.77033344,-74.22494398,4081000,2012,4.387839356
357351,Papa John's Pizza,451 BLOOMFIELD AVE,NEWARK,NJ,7107,40.7707134,-74.18318079,783000,2012,2.547547524
